Name	Contact	Street_address	PO	Street _Address_Suite	City	Province_State	Postal_Zip Code	Phone1	Phone1_Extension	Phone2	Phone2_Extension	Fax
Banque Nationale			1907 C.P. / P.O. BOX 	Succursale Terminus	Québec	Québec	G1K 7M3	1-866-684-5253				
Société de l'assurance automobile du Québec			19100 C.P. / P.O. BOX 	Succursale Terminus	Québec	Québec	G1K 8J1					
Société de l'assurance automobile du Québec			19300 C.P. / P.O. BOX 	Succursale Terminus	Québec	Québec	G1K 8J3					
Société de l'assurance automobile du Québec			19600  C.P. / P.O. BOX Succursale Terminus	333, Jean Lesage	Québec	Québec	G1K 8J6					
Fondation de l'entrepreneurship		55, Marie-de-l'Incarnation			Québec	Québec	G1N 3E9	418-646-1994	271			
Ministère de la Justice	Bureau des Infractions, amende	1200, route de l'Église		6 ème rang	Québec	Québec	G1V 4X1					
Agence du Revenu du Canada	Centre fiscal	4695, 12 ème avenue			Shawinigan	Québec	G9N 7S6					
Revenu Canada	ADRC-Centre fiscal	4695, 12 ème avenue			Shawinigan	Québec	G9N 7S6					
DécorInox inc.		11470, Ontario Est			Montréal	Québec	H1B 4J3	514-383-2361				
Forage Gareau ltée		3825, St-Jean-Baptiste			Montréal	Québec	H1B 5V4	514-640-4050				
Clinique de la toiture FCA inc.		11435, 6 avenue			Montréal	Québec	H1E 1R8	514-722-7348				
Finition Beryo Bois Inc.		7450, Pierre Chasseur			Montréal	Québec	H1E 6Z5	514-640-0202		514-951-6839		
Les services ménagers AMC	Martin Luongo	5090, Lebrun			Montréal	Québec	H1K 3H3	514-354-0863				
Sablage de Planchers L.P.Enr.		9631, Bellerive			Montréal	Québec	H1L 3T2	514-355-1997				
A.P.C.H.Q.		5930, Louis-H. Lafontaine			Anjou	Québec	H1M 1S7	514-353-9960				
A.P.C.H.Q.-Montréal métropolitain		5800, Louis-H. Lafontaine			Anjou	Québec	H1M 1S7					
Tourangeau, Crochetière Experts-Comptables Inc.		5800, Louis-H. Lafontaine			Anjou	Québec	H1M 1S7	514-722-3887				
Réno-Maître APCHQ		5930, Louis-H. Lafontaine			Montréal	Québec	H1M 1S7					
Dubo Électrique Ltée		5780, Ontario			Montréal	Québec	H1N 0A2	514-255-7711				514-255-1559
C. Rodrigue Électrique inc.		6977, Notre-Dame Est			Montréal	Québec	H1N 2G2	514-524-3950				
Les Pierres DS Inc.		8970, Pascal-Gagnon			Montréal	Québec	H1P 1Z3	514-955-7737				
Technofix		9050, Champ d'Eau			Montréal	Québec	H1P 3M4	514-324-4911				
MRA		5055, Métropolitain Est		Bureau 200	Montréal	Québec	H1R 1Z7	514-329-3333				
CDEST		2030, Pie-IX		Bureau 201	Montréal	Québec	H1V 2C8	514-256-6825				
L & M Tapis & Peinture		3629, Ontario			Montréal	Québec	H1W 1R8	514-522-1767				
Serrurier Sirois		3950, Ontario Est			Montréal	Québec	H1W 1S9	514-523-3687				
Immeuble Sansoucy Perreault		3115, Ste-Catherine Est			Montréal	Quebec	H1W 2C1	514-524-2362				
Nap-Art		2160, Moreau			Montréal	Québec	H1W 2M3	514-521-3326				
Poissant Excavation Inc.		8468, 9 ème avenue			Montréal	Québec	H1Z 2Z5	514-374-2735				
Grand-papa Gâteau enr.		2460, Fleury Est			Montréal	Québec	H2B 1L3	514-890-1607				
Broderie Montréal		5595, Fullum			Montréal	Québec	H2G 2H5	514-271-0977				
Atelier de location Turbo		4300, Hogan			Montréal	Québec	H2H 2N4	514-598-8726				
Matériaux de Plomberie Ray-Jean Inc.		2756, de Rouen			Montréal	Québec	H2K 1N3	514-522-1179				
Bétonel	Pierre Martel représentant)	2528, Ontario Est			Montréal	Québec	H2K 1W4	514-349-0105				
Pierre Sansoucy		1245, Saint-Hubert		Suite 100	Montréal	Québec	H2L 3Y8	514-573-0770				
Service ADG			32011 C.P. / P.O. BOX 	Succursale St-André	Montréal	Québec	H2L 4Y5	514-849-4602				
Ministre Des Finances	Direction des licences - RBQ	545, Crémazie est		4 ème  étage	Montréal	Québec	H2M 2V2					
Régie du bâtiment du Québec		545, Crémazie Est		4 ème  étage	Montréal	Québec	H2M 2V2					
BEAUMARCHE		9124, St-Laurent			Montréal	Québec	H2N 1M9	514-382-4062				
Jolicoeur Savard Assurance		8694, Saint-Denis			Montréal	Québec	H2P 2H3	514-384-1460				
Hydro-Québec			270 C.P. / P.O. BOX 	Succursale Youville	Montréal	Québec	H2P 2V4					
Groupe Viau inc.		1100, Crémazie Est		Bureau 500	Montréal	Québec	H2P 2X2	514-374-9345				
Richmar Atelier		105, Jean-Talon			Montréal	Québec	H2R 2W9	514-273-9333				
People Commerce		5983, Saint-Hubert			Montréal	Québec	H2S 2L8	514-587-6322				
YG Plâtrage		777-A, Champagneur			Montréal	Québec	H2V 3P9	514-299-9490				
Ramacieri Soligo		815, Querbes			Montréal	Québec	H2V 3X1	514-270-9192				
Les cuisines Vallée		202, St-Zotique Ouest		Boîte A7-B	Montréal	Québec	H2V 4S9	514-962-0156				
Enseignes Pinecrest		200, Des Pins Est			Montréal	Québec	H2W 1P1	514-842-3601				
LACRDQ			1084 C.P. / P.O. BOX 	Succursale postale Place d'Armes	Montréal	Québec	H2Y 3J6	514-287-1320				
Revenu Canada Impôt		305, René Lévesques Ouest			Montréal	Québec	H2Z 1A6					
Visa Desjardins		425, Viger Ouest			Montréal	Québec	H2Z 1W5					
Mac a Montréal		1200, McGill College		Suite 1100	Montréal	Québec	H3B 4G7	514-998-7208				
Raymond Chabot Grand Thornton	Tour de la Banque Nationale	600, de la Gauchetière Ouest		Bureau 2000	Montréal	Québec	H3B 4L8	514-878-2692				
Lavery, De Billy		1, Place Ville Marie		Bureau 4000	Montréal	Québec	H3B 4M4	514-871-1522				
Ville de Montréal	Service des finances		Recettes diverses	C.P. 11043, Succursale Centre-Ville	Montréal	Québec	H3C 4X8					
Cour municipale			11045 C.P. / P.O. BOX 	Succursale Centre-Ville	Montréal	Québec	H3C 4Y1					
Ville de Montréal	Cour municipale		11045 C.P. / P.O. BOX 	Succursale Centre-Ville	Montréal	Québec	H3C 4Y1					
Cour municipale de la Ville de Montréal			11046 C.P. / P.O. BOX 	Succursale Centre-VIlle	Montréal	Québec	H3C 4Y2					
Vidéotron			11078 C.P. / P.O. BOX 	Succursale Centre Ville	Montréal	Québec	H3C 5B7					
Ville de Montréal- Cour municipale			11116 C.P. / P.O. BOX 	Succursale Centre-ville	Montréal	Québec	H3C 5H2					
Ville de Montréal.	Service des finances		11461 C.P. / P.O. BOX 	Succursale Centre-Ville	Montréal	Québec	H3C 5L8					
C.S.S.T.			11493 C.P. / P.O. BOX 	Succursale Centre-ville	Montréal	Québec	H3C 5S1	514-842-3601				
CAA HABITATION		1180, Drummond		bureau 705	Montréal	Québec	H3G 2R7	514-861-6162				
PHOTOatwork.com		7345, Maynard			Montréal	Québec	H3R 3B3	514-941-9751				
HEC Montréal		3000, Chemin de la Côte Ste-Catherine			Montréal	Québec	H3T 2A7	514-340-5660				
CORPIQ		750, Marcel-Laurin		Bureau 131	Montréal	Québec	H4M 2M4	514-748-1921				
Basement Système Quebec		9495, Charles de Latour			Montréal	Québec	H4N 1M5					
Céra Grès		825, Deslauriers			Montréal	Québec	H4N 1X3	514-384-5590				
Luciani Automobile Inc		4040, Jean-Talon Ouest			Montréal	Québec	H4P 1V5					
Proxima Publications Inc		8180, Devonshire		Bureau 206	Mont-Royal	Québec	H4P 2K3	514-736-1133				
Escalier Multi Desing Inc.		9500, Transcanadienne			Saint-Laurent	Québec	H4S 1R7	514-339-2647				
Bertrand Durand Inc		48, Wolseley Nord			Montréal	Québec	H4X 1V5	514-481-0368				
Ministre revenu du Québec	Secteur D183CA		3000 C.P. / P.O. BOX 	Succursale Desjardins	Montréal	Québec	H5B 1A4					
Ministre revenu du Québec-		3, Place Desjardins			Montréal	Québec	H5B 1A4					
Ministre du revenu du Québec			RÉF: 00691	C.P. 4000, Succursale Desjardins	Montréal	Québec	H5B 1A5					
Ministre du revenu du Québec-			TPS-TVQ	C.P. 4000, Succursale Desjardins	Montréal	Québec	H5B 1A5					
Revenu Quebec			4000 C.P. / P.O. BOX 	Succursale Desjardins	Montréal	Québec	H5B 1A5					
Revenu Québec			4000 C.P. / P.O. BOX 	Succursale Desjardins	Montréal	Québec	H5B 1A5					
Ministère du revenu du Québec			RÉF: A2042	C.P. 5500, Succursale Desjardins	Montréal	Québec	H5B 1A8					
Ministre du rev. du Québec	RÉF: A2042		5500 C.P. / P.O. BOX 	Succursale Desjardins	Montréal	Québec	H5B 1A8					
Ministre du revenu du Québec-			5500 C.P. / P.O. BOX 	Succursale Desjardins	Montréal	Québec	H5B 1A8					
Revenu Québec.			5500 C.P. / P.O. BOX 	Succursale Desjardins	Montréal	Québec	H5B 1A8					
Revenu Quebec/			RÉF: A2121	C.P. 5500, Succursale Desjardins	Montréal	Québec	H5B 1A8					
Fonds des professionnels du Québec		2, Complexe Desjardins		Tour de l'Est, 31eme étage	Montréal	Québec	H5B 1C2	514-350-5050				
Revenu Québec-			6700 C.P. / P.O. BOX 	Succursale Place-Desjardins	Montréal	Québec	H5B 1J4					
A25-Le lien intelligent		6801, Boulevard Lévesque Est			Laval	Québec	H7A 0E9					
Alliance Gicleurs inc		1010, Place Verner			Laval	Québec	H7E 4P2	450-661-2123				
Optimax Portes et Fenêtres	Denis Bourdage	2930, Place du Cormoran			Laval	Québec	H7L 3T2	514-966-6825				
Solabec		1970, Michelin		Local 3	Laval	Québec	H7L 5C2	450-687-8773		514-990-0620		
Farkas		1467, Cunard			Laval	Québec	H7S 2H8	450-629-8883				
Charles Vincent électrique Inc.		790, Bord de l'Eau			Laval	Québec	H7X 1W5	450-689-9949				
BainTech			98 C.P. / P.O. BOX 		Montréal	Québec	H9H 0A2	514-953-0102				
DIM Stone Inc		14360, Gouin O.			Pierrefonds	Québec	H9H 1B1	514-626-4442				
Vitrerie Pierrefonds inc.		15700, Pierrefonds		Centre dachat Baldwin	Pierrefonds	Québec	H9H 3P6	514-696-7667				
Akton Injection		245, Elm			Beaconsfield	Québec	H9W 2E3	514-694-6622				
Tenaquip		20701, Ste-Marie			Ste Anne de Bellevue	Québec	H9X 5X5	1800-661-2400				
PAVCO inc.		12153, Pierre-Blanchet			Montréal	Québec	HIE3T1	514-322-6844				
Les Entreprises M.L. Dugas Inc.		1745, Chemin Parc			Mandeville	Québec	J0K 1L0	514-977-1555				
Isolation Majeau et Frère		20, route 125			Saint-Esprit	Québec	J0K 2LO	450-839-7000				
Portes de Douche GG		36, des Méandres			St-Ro lAchigan	Québec	J0K 3H0	450-588-4971				
Marcil centre de rénovation		335, route 209			Saint-Clotide	Québec	J0L 1W0	450-826-3135				
Lanctôt		148, Boyer			St-Isidore	Québec	J0L 2A0	514-875-1954				
Baignoir Ultra		2480, Rouville			St-Jean-Baptiste	Québec	J0L 2B0	450-464-9109				
Les Babouches d'Alain inc.		207, Principale Nord			Windsor	Québec	J1S 2E1	1877-845-7550				
Les Alarmes ASE inc.		19, du Grand-Coteau			Sainte-Julie	Québec	J3E 2X3	514-825-3111				
Sylvie Lecuyer		130, Notre-Dame			Chambly	Québec	J3L 1J2	514-606-4734				
Martin Paquette Électrique Inc.		202, Mongeau			Varennes	Québec	J3X 1M6	450-652-7884				
JMD Électrique inc.		1015, Lionel Boulet		local 125	Varennes	Québec	J3X 1P7	450-985-1430		514-891-8870		
Les Entreprises F. Gélinas			29563 C.P. / P.O. BOX 	5950, Cousineau	Saint-Hubert	Québec	J3Y	514-219-8466				
BMR		1501, Ampère		bureau 220	Boucherville	Québec	J4B 5Z5	450-655-4388				
Publicité JL	Diane Lanteigne	1550-B, de Coulomb			Boucherville	Québec	J4B 7Z7	514-755-4377				
AB André Bergeron		415, Berkley			Saint-Lambert	Québec	J4P 3E7	450-923-4688				
Lapointe Rebut Inc.			30521 C.P. / P.O. BOX 		Brossard	Québec	J4Z 3R6	514-467-8800				450-812-3432
Ébénisterie A.Beaucage		188, Chemin Des Commissaires			L'Assomption	Québec	J5W 2T7	450-589-6412				
Métaluminox		3960, Labonté			L'Assomption	Québec	J5W 5B7	514-953-6683				
SB9		510, Mistassini			Répentigny	Québec	J5Y 0E9	450-721-3888				
Gouttières Universel Inc.		969, Einstein			Repentigny	Québec	J5Y 3W4	514-971-9557				
Instalation Universelle Inc.		969, Einstein			Répentigny	Québec	J5Y 3W4	514-971-9557				
Côté et fils inc		112, Colonia			Repentigny	Québec	J6A 3R1	450-581-2173				
Robert Bisson Designer d'intérieur		98, Dupont			Châteauguay	Québec	J6J 1G6	514-839-4087				
S.A. EXCAVATION		66, Marleau			Mercier	Québec	J6R 1Z8	514-743-1658				
Les toitures Techni toit		4413, Pierre Le Gardeur			Terrebonne	Québec	J6V 1M6	514-617-8494		514-617-8494		
Ambiance Peinture	Girard, Sébastien	3975, Claudelle			Terrebonne	Québec	J6X 2R4	514-812-0261				
Intermat		3700, Pascal Gagnon			Terrebonne	Québec	J6X 4J2	450-471-2982				
Centre de l'escalier		3535, des Entreprises			Terrebonne	Québec	J6X 4J9	450-471-4151				
Hydronique Expert inc.		1115, Armand Bombardier		local 109	Terrebonne	Québec	J6Y 1S9	450-435-1010				
CDF entrepreneur en maçonnerie		277, Labelle suite 206			Rosemère	Québec	J7A 2H3	514-444-1886				
Coffrage Duc Ltée		419, North Cote			Rosemère	Québec	J7A 4M6	450-621-0427				
Planchers Monticello	Sébastien	30, Joseph-Bouchette			Blainville	Québec	J7C 6A7	514-583-9218				
Entreprise Jeannot Paquette		215, René A. Robert		Suite 112	Ste-Thérèse	Québec	J7E 4L1	450-437-8770				
Isolation Iso-Pro Inc.		1720, Carpentier			Boisbriand	Québec	J7G 3G1	450-420-1111				
Matériaux Kott		4220, Marcel Lacasse			Boisbriand	Québec	J7H 1N3	450-445-5688				
J. Claude Chiasson Construction Ltée		6894, Des Halbrans			Terrebonne	Québec	J7M 2E9					
Menuiserie Stephane Aubut		5890, du Bosquet			Terrebonne	Québec	J7M 2H2	514-952-7468				
Les Pinceaux du Plateau		267, du Régent			Deux Montagnes	Québec	J7R 3V2	514-572-4310				
Desmair		290, Chicoine			Vaudreuil-Dorion	Québec	J7V 1Z1	514-453-7214				
Groupe Gestion et passion		3614, Lomer-Gouin			Vaudreuil-Dorion	Québec	J7V 9J8	450-510-1560				
Stéphane Duchesne		14, Boréale			St-Hippolyte	Québec	J8A 0C5	514-983-3441				
Les Ateliers Jacobs INC		270, Beauchamps		C.P.368	Saint-Calixte	Québec	JOK 1Z0	450-222-5588				
Réparations G.B. enr.		1422, Chemin du Rivage			Sainte-Julienne	Québec	JOK 2T0	450-399-1021				
Excavation St-Joseph-du-Lac Enr.		4377-A, chemin d'Oka			St-Joseph-du-Lac	Québec	JON 1MO	514-977-5089				
Revenu Canada.		875, Chemin Héron			Ottawa	Ontario	K1A 1G9					
Aspiria Corp		445, Apple Creek Boulevard		suite 202	Markham	Ontario	L3R 9X7					
Pitney Bowes			190  C.P. / P.O. BOX 		Orangeville	Ontario	L9W 2Z6	1-800-672-6937				
Pitney Works			280 C.P. / P.O. BOX 		Orangeville	Ontario	L9W 2Z7	1-800-672-6937				
407 ETR			407 C.P. / P.O. BOX 	Station D	Scarborough	Ontario	M1R 5J8					
Crédit Ford du Canada Limitée			4600 C.P. / P.O. BOX 	Succursale Agincourt	Scarborough	Ontario	M1S 5V2					
Transamérica vie		5000, Yonge			Toronto	Ontario	M2N 7J8					
