Time Zone,Relative to GMT (Greenwich Mean Time ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan Standard Time,(GMT+04:30) Kabul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaskan Standard Time,(GMT-09:00) Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab Standard Time,"(GMT+03:00) Kuwait, Riyadh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabian Standard Time,"(GMT+04:00) Abu Dhabi, Muscat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic Standard Time,(GMT+03:00) Baghdad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic Standard Time,(GMT-04:00) Atlantic Time (Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS Central Standard Time,(GMT+09:30) Darwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS Eastern Standard Time,"(GMT+10:00) Canberra, Melbourne, Sydney",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan Standard Time,(GMT +04:00) Baku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azores Standard Time,(GMT-01:00) Azores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada Central Standard Time,(GMT-06:00) Saskatchewan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde Standard Time,(GMT-01:00) Cape Verde Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caucasus Standard Time,(GMT+04:00) Yerevan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cen. Australia Standard Time,(GMT+09:30) Adelaide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central America Standard Time,(GMT-06:00) Central America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Asia Standard Time,"(GMT+06:00) Astana, Dhaka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Brazilian Standard Time,(GMT -04:00) Manaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Europe Standard Time,"(GMT+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central European Standard Time,"(GMT+01:00) Sarajevo, Skopje, Warsaw, Zagreb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Pacific Standard Time,"(GMT+11:00) Magadan, Solomon Islands, New Caledonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Standard Time,(GMT-06:00) Central Time (US and Canada),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Standard Time (Mexico),"(GMT-06:00) Guadalajara, Mexico City, Monterrey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China Standard Time,"(GMT+08:00) Beijing, Chongqing, Hong Kong SAR, Urumqi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dateline Standard Time,(GMT-12:00) International Date Line West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
